"Switches","Włączniki"
"Timers","Harmonogram"
"Settings","Ustawienia"
"Edit switches","Edytuj włączniki"
"Change password","Zmiana hasła"
"API access","Dostęp do API"
"Logout","Wyloguj się"
"This is first time you log in, create new password.","Logujesz się po raz pierwszy. Utwórz nowe hasło."
"User login","Logowanie"
"Passwords were not the same.","Podałeś różne hasła."
"Password cannot be empty","Hasło nie może być puste"
"Incorrect password","Hasło niepoprawne"
"You are now logged out","Zostałeś wylogowany"
"Password changed","Hasło zostało zmienione"
"New password mismatch","Podałeś różne hasła"
"New settings saved","Zapisano ustawienia"
"New switch has been added","Nowy włącznik został dodany"
"Switch has been removed","Włącznik został usunięty"
"New timer settings saved","Zapisano ustawienia harmonogramu"
"API access key wasn't created.","Nie utworzono jeszcze klucza dostępu do API."
"API key changed","Klucz dostępu do API został zmieniony"
"API key is not set","Klucz dostępu do API nie został utworzony"
"Instructions","Instrukcje"
"API access enable control of the switches from external applications.","Dostęp do API umożliwia kontrolę włączników z innych aplikacji."
"Avaliable methods","Dostępne metody"
"Method","Metoda"
"Description","Opis"
"Control switches state","Kontroluje stan włączników"
"Read switches state","Udostępnia odczyt stanu włącznika"
"Arguments description","Opis argumentów"
"Element","Element"
"Switch id (enumerating from 0)","ID włącznika (liczone od 0)"
"Desired state; 0: disable, 1: enable, 2: toggle","Docelowy stan; 0: wyłącz, 1: włącz, 2: przełącz"
"API access key","Klucz dostępu do API"
"API authentication key","Klucz dostępu do API"
"Enter new API key","Podaj nowy klucz API"
"Submit","Wyślij"
"Add","Dodaj"
"Enter name","Podaj nazwę"
"No switches defined","Brak zdefiniowanych włączników"
"Create one by clicking 'Add new'","Utwórz nowy wybierając 'Dodaj nowy'"
"Name","Nazwa"
"Enable command","Komenda włączenia"
"Disable command","Komenda wyłączenia"
"State","Stan"
"Add new","Dodaj nowy"
"Press ENABLE on remote controller","Wciśnij WŁĄCZ na pilocie"
"Press DISABLE on remote controller","Wciśnij WYŁĄCZ na pilocie"
"Enter password","Podaj hasło"
"Verify password","Weryfikuj hasło"
"Create new password","Utwórz nowe hasło"
"New password","Nowe hasło"
"Old password","Stare hasło"
"Create one in 'Settings' menu.","Utwórz nowy w menu 'Ustawienia'"
"No timers defined","Brak zdefiniowanych programów"
"Create one by clicking 'Add new'","Utwórz nowy wybierając 'Dodaj nowy'"
"turn ON","WŁĄCZ"
"turn OFF","WYŁĄCZ"
"TOGGLE","PRZEŁĄCZ"
"Add new entry","Dodaj nowy program"
"5 minutes","5 minut"
"10 minutes","10 minut"
"15 minutes","15 minut"
"30 minutes","30 minut"
"Settings useful for remotes with one button for each switch:","Ustawienia przydatne dla pilotów z jednym przyciskiem dla każdego włącznika:"
"Number of retransmits for ON command","Liczba retransmisji komendy WŁĄCZ"
"Number of retransmits for OFF command","Liczba retransmisji komendy WYŁĄCZ"
"Advanced","Zaawansowane"

